	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	H16	H17	H18	H19	H20	H21	H22	H23	H24	H25	H26	H27	H28	H29	H30	H31	H32	H33	H34	H35	H36	H37	H38	H39	H40	H41	H42	H43	H44	H45	H46	H47	H48	H49	H50	H51	H52	H53	H54	H55	H56	H57	H58	H59	H60	H61	H62	H63	H64	H65	H66	H67	H68	H69	H70	H71	H72	H73	H74	H75	H76	H77	H78	H79	H80	H81	H82	H83	H84	H85	H86	H87	H88	H89	H90	H91	H92	H93	H94	H95	H96	H97	H98	H99	H100	H101	H102	H103	H104	H105	H106	H107	H108	H109	H110	H111	H112	H113	H114	H115	H116	H117	H118	H119	H120	H121	H122	H123	H124	H125	H126	H127	H128	H129	H130	H131	H132	H133	H134	H135	H136	H137	H138	H139	H140	H141	H142	H143	H144	H145	H146	H147	H148	H149	H150	H151	H152	H153	H154	H155	H156	H157	H158	H159	H160	H161	H162	H163	H164	H165	H166	H167	H168	H169	H170	H171	H172	H173	H174	H175	H176	H177	H178	H179	H180	H181	H182	H183	H184	H185	H186	H187	H188	H189	H190	H191	H192	H193	H194	H195	H196	H197	H198	H199	H200	H201	H202	H203	H204	H205	H206	H207	H208	H209	H210	H211	H212	H213	H214	H215	H216	H217	H218	H219	H220	H221	H222	H223	H224	H225	H226	H227	H228	H229
H1	1	0.004662	0.004662	0.000635	0.004662	0.00343	0.004662	0.003999	0.000025	0.002942	0.004662	0.004662	0.003999	0.004662	0.000074	0.00343	0.004662	0.004662	0.004662	0.004662	0.004662	0.004662	0.00343	0.003999	0.004662	0.004662	0.004662	0.002942	0.003999	0.004662	0.000186	0.00343	0.004662	0.003999	0.001367	0.004662	0.004662	0.00343	0.004662	0.004662	0.004662	0.004662	0.004662	0.003999	0.004662	0.003999	0.004662	0.004662	0.004662	0.004662	0.004662	0.004662	0.003999	0.000544	0.003999	0	0.00343	0.004662	0.001857	0.00343	0.003999	0.004662	0.004662	0.004662	0.004662	0.004662	0.004662	0.004662	0.004662	0.004662	0.004662	0.004662	0.003999	0.000055	0.00343	0.004662	0.004662	0.004662	0.004662	0.003999	0.004662	0.004662	0.004662	0.003999	0.002942	0.003999	0.001593	0.002942	0.003999	0.002524	0.004662	0.003999	0.002165	0.003999	0.00343	0.004662	0.004662	0.004662	0.003999	0.00343	0.003999	0.004662	0	0.001593	0.003999	0.001367	0.001593	0.003999	0.00343	0.004662	0.004662	0.004662	0.00003	0.00016	0.004662	0.004662	0.002942	0.003999	0.004662	0.004662	0.004662	0.001367	0	0.003999	0.000544	0.000101	0.004662	0.001857	0.003999	0.00343	0.003999	0.00074	0.001857	0.003999	0.00016	0.003999	0.004662	0.004662	0.003999	0.004662	0.003999	0.004662	0.003999	0.004662	0.004662	0.004662	0.000344	0.000074	0.004662	0.004662	0.004662	0.001593	0.00343	0.000467	0.002165	0.004662	0.000467	0.003999	0.002165	0.004662	0.004662	0.00343	0.004662	0.004662	0.004662	0.004662	0.004662	0.004662	0.004662	0.004662	0.004662	0.004662	0.004662	0.004662	0.004662	0.003999	0.003999	0.001857	0.003999	0.004662	0.002942	0.001006	0.00343	0.002165	0.004662	0.004662	0.004662	0.004662	0.004662	0.00343	0.001367	0.002165	0.004662	0.004662	0.003999	0.003999	0.006335	0.004662	0.000344	0.000863	0.004662	0.00343	0.001857	0.004662	0.004662	0.004662	0	0.006335	0.001857	0.004662	0.002942	0.004662	0.002165	0.004662	0.002942	0.000009	0.004662	0.00001	0.006335	0.004662	0.004662	0.00074	0.004662	0.004662	0	0.002165	0.001172	0.004662	0.004662
H2	0.004662	1	0.735824	0.100185	0.735824	0.541436	0.735824	0.631191	0.003999	0.464445	0.735824	0.735824	0.631191	0.735824	0.011701	0.541436	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.541436	0.631191	0.735824	0.735824	0.735824	0.464445	0.631191	0.735824	0.02937	0.541436	0.735824	0.631191	0.215709	0.735824	0.735824	0.541436	0.735824	0.735824	0.735824	0.735824	0.735824	0.631191	0.735824	0.631191	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.631191	0.085939	0.631191	0.000047	0.541436	0.735824	0.293153	0.541436	0.631191	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.631191	0.00861	0.541436	0.735824	0.735824	0.735824	0.735824	0.631191	0.735824	0.735824	0.735824	0.631191	0.464445	0.631191	0.251467	0.464445	0.631191	0.398402	0.735824	0.631191	0.34175	0.631191	0.541436	0.735824	0.735824	0.735824	0.631191	0.541436	0.631191	0.735824	0.000004	0.251467	0.631191	0.215709	0.251467	0.631191	0.541436	0.735824	0.735824	0.735824	0.004662	0.025193	0.735824	0.735824	0.464445	0.631191	0.735824	0.735824	0.735824	0.215709	0.000003	0.631191	0.085939	0.015902	0.735824	0.293153	0.631191	0.541436	0.631191	0.116793	0.293153	0.631191	0.025193	0.631191	0.735824	0.735824	0.631191	0.735824	0.631191	0.735824	0.631191	0.735824	0.735824	0.735824	0.054244	0.011701	0.735824	0.735824	0.735824	0.251467	0.541436	0.073718	0.34175	0.735824	0.073718	0.631191	0.34175	0.735824	0.735824	0.541436	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.631191	0.631191	0.293153	0.631191	0.735824	0.464445	0.158724	0.541436	0.34175	0.735824	0.735824	0.735824	0.735824	0.735824	0.541436	0.215709	0.34175	0.735824	0.735824	0.631191	0.631191	0.735824	0.735824	0.054244	0.136154	0.735824	0.541436	0.293153	0.735824	0.735824	0.735824	0	0.735824	0.293153	0.735824	0.464445	0.735824	0.34175	0.735824	0.464445	0.001367	0.735824	0.001593	0.735824	0.735824	0.735824	0.116793	0.735824	0.735824	0	0.34175	0.185036	0.735824	0.735824
H3	0.004662	0.735824	1	0.100185	0.735824	0.541436	0.735824	0.631191	0.003999	0.464445	0.735824	0.735824	0.631191	0.735824	0.011701	0.541436	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.541436	0.631191	0.735824	0.735824	0.735824	0.464445	0.631191	0.735824	0.02937	0.541436	0.735824	0.631191	0.215709	0.735824	0.735824	0.541436	0.735824	0.735824	0.735824	0.735824	0.735824	0.631191	0.735824	0.631191	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.631191	0.085939	0.631191	0.000047	0.541436	0.735824	0.293153	0.541436	0.631191	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.631191	0.00861	0.541436	0.735824	0.735824	0.735824	0.735824	0.631191	0.735824	0.735824	0.735824	0.631191	0.464445	0.631191	0.251467	0.464445	0.631191	0.398402	0.735824	0.631191	0.34175	0.631191	0.541436	0.735824	0.735824	0.735824	0.631191	0.541436	0.631191	0.735824	0.000004	0.251467	0.631191	0.215709	0.251467	0.631191	0.541436	0.735824	0.735824	0.735824	0.004662	0.025193	0.735824	0.735824	0.464445	0.631191	0.735824	0.735824	0.735824	0.215709	0.000003	0.631191	0.085939	0.015902	0.735824	0.293153	0.631191	0.541436	0.631191	0.116793	0.293153	0.631191	0.025193	0.631191	0.735824	0.735824	0.631191	0.735824	0.631191	0.735824	0.631191	0.735824	0.735824	0.735824	0.054244	0.011701	0.735824	0.735824	0.735824	0.251467	0.541436	0.073718	0.34175	0.735824	0.073718	0.631191	0.34175	0.735824	0.735824	0.541436	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.631191	0.631191	0.293153	0.631191	0.735824	0.464445	0.158724	0.541436	0.34175	0.735824	0.735824	0.735824	0.735824	0.735824	0.541436	0.215709	0.34175	0.735824	0.735824	0.631191	0.631191	0.735824	0.735824	0.054244	0.136154	0.735824	0.541436	0.293153	0.735824	0.735824	0.735824	0	0.735824	0.293153	0.735824	0.464445	0.735824	0.34175	0.735824	0.631191	0.001367	0.735824	0.001593	0.735824	0.735824	0.735824	0.116793	0.735824	0.735824	0	0.464445	0.251467	1	1
H4	0.000635	0.100185	0.100185	1	0.100185	0.073718	0.100185	0.085939	0.000544	0.063236	0.100185	0.100185	0.085939	0.100185	0.001593	0.073718	0.100185	0.100185	0.100185	0.100185	0.100185	0.100185	0.073718	0.085939	0.100185	0.100185	0.100185	0.063236	0.085939	0.100185	0.003999	0.073718	0.100185	0.085939	0.02937	0.100185	0.100185	0.073718	0.100185	0.100185	0.100185	0.100185	0.100185	0.085939	0.100185	0.085939	0.100185	0.100185	0.100185	0.100185	0.100185	0.100185	0.085939	0.011701	0.085939	0.000006	0.073718	0.100185	0.039914	0.073718	0.085939	0.100185	0.100185	0.100185	0.100185	0.100185	0.100185	0.100185	0.100185	0.100185	0.100185	0.100185	0.085939	0.001172	0.073718	0.100185	0.100185	0.100185	0.100185	0.085939	0.100185	0.100185	0.100185	0.085939	0.063236	0.085939	0.034238	0.063236	0.085939	0.054244	0.100185	0.085939	0.04653	0.085939	0.073718	0.100185	0.100185	0.100185	0.085939	0.073718	0.085939	0.100185	0.000001	0.034238	0.085939	0.02937	0.034238	0.085939	0.073718	0.100185	0.100185	0.100185	0.000635	0.00343	0.100185	0.100185	0.063236	0.085939	0.100185	0.100185	0.100185	0.02937	0	0.085939	0.011701	0.002165	0.100185	0.039914	0.085939	0.073718	0.085939	0.015902	0.039914	0.085939	0.00343	0.085939	0.100185	0.100185	0.085939	0.100185	0.085939	0.100185	0.085939	0.100185	0.100185	0.100185	0.007385	0.001593	0.100185	0.100185	0.100185	0.034238	0.073718	0.010037	0.04653	0.100185	0.010037	0.085939	0.04653	0.100185	0.100185	0.073718	0.100185	0.100185	0.100185	0.100185	0.100185	0.100185	0.100185	0.100185	0.100185	0.100185	0.100185	0.100185	0.100185	0.085939	0.085939	0.039914	0.085939	0.100185	0.063236	0.021611	0.073718	0.04653	0.100185	0.100185	0.100185	0.100185	0.100185	0.073718	0.02937	0.04653	0.100185	0.100185	0.085939	0.085939	0.100185	0.100185	0.007385	0.018538	0.100185	0.073718	0.039914	0.100185	0.100185	0.100185	0	0.100185	0.039914	0.100185	0.063236	0.100185	0.04653	0.100185	0.063236	0.000186	0.100185	0.000217	0.100185	0.100185	0.100185	0.015902	0.100185	0.100185	0	0.04653	0.025193	0.100185	0.100185
H5	0.004662	0.735824	0.735824	0.100185	1	0.541436	0.735824	0.631191	0.003999	0.464445	0.735824	0.735824	0.631191	0.735824	0.011701	0.541436	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.541436	0.631191	0.735824	0.735824	0.735824	0.464445	0.631191	0.735824	0.02937	0.541436	0.735824	0.631191	0.215709	0.735824	0.735824	0.541436	0.735824	0.735824	0.735824	0.735824	0.735824	0.631191	0.735824	0.631191	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.631191	0.085939	0.631191	0.000047	0.541436	0.735824	0.293153	0.541436	0.631191	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.631191	0.00861	0.541436	0.735824	0.735824	0.735824	0.735824	0.631191	0.735824	0.735824	0.735824	0.631191	0.464445	0.631191	0.251467	0.464445	0.631191	0.398402	0.735824	0.631191	0.34175	0.631191	0.541436	0.735824	0.735824	0.735824	0.631191	0.541436	0.631191	0.735824	0.000004	0.251467	0.631191	0.215709	0.251467	0.631191	0.541436	0.735824	0.735824	0.735824	0.004662	0.025193	0.735824	0.735824	0.464445	0.631191	0.735824	0.735824	0.735824	0.215709	0.000003	0.631191	0.085939	0.015902	0.735824	0.293153	0.631191	0.541436	0.631191	0.116793	0.293153	0.631191	0.025193	0.631191	0.735824	0.735824	0.631191	0.735824	0.631191	0.735824	0.631191	0.735824	0.735824	0.735824	0.054244	0.011701	0.735824	0.735824	0.735824	0.251467	0.541436	0.073718	0.34175	0.735824	0.073718	0.631191	0.34175	0.735824	0.735824	0.541436	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.631191	0.631191	0.293153	0.631191	0.735824	0.464445	0.158724	0.541436	0.34175	0.735824	0.735824	0.735824	0.735824	0.735824	0.541436	0.215709	0.34175	0.735824	0.735824	0.631191	0.631191	0.735824	0.735824	0.054244	0.136154	0.735824	0.541436	0.293153	0.735824	0.735824	0.735824	0	0.735824	0.293153	0.735824	0.464445	0.735824	0.34175	0.735824	0.464445	0.001367	0.735824	0.001593	0.735824	0.735824	0.735824	0.116793	0.735824	0.735824	0	0.34175	0.185036	0.735824	0.735824
H6	0.00343	0.541436	0.541436	0.073718	0.541436	1	0.541436	0.464445	0.002942	0.34175	0.541436	0.541436	0.464445	0.541436	0.00861	0.398402	0.541436	0.541436	0.541436	0.541436	0.541436	0.541436	0.398402	0.464445	0.541436	0.541436	0.541436	0.34175	0.464445	0.541436	0.021611	0.398402	0.541436	0.464445	0.158724	0.541436	0.541436	0.398402	0.541436	0.541436	0.541436	0.541436	0.541436	0.464445	0.541436	0.464445	0.541436	0.541436	0.541436	0.541436	0.541436	0.541436	0.464445	0.063236	0.464445	0.000034	0.398402	0.541436	0.215709	0.398402	0.464445	0.541436	0.541436	0.541436	0.541436	0.541436	0.541436	0.541436	0.541436	0.541436	0.541436	0.541436	0.464445	0.006335	0.398402	0.541436	0.541436	0.541436	0.541436	0.464445	0.541436	0.541436	0.541436	0.464445	0.34175	0.464445	0.185036	0.34175	0.464445	0.293153	0.541436	0.464445	0.251467	0.464445	0.398402	0.541436	0.541436	0.541436	0.464445	0.398402	0.464445	0.541436	0.000003	0.185036	0.464445	0.158724	0.185036	0.464445	0.398402	0.541436	0.541436	0.541436	0.00343	0.018538	0.541436	0.541436	0.34175	0.464445	0.541436	0.541436	0.541436	0.158724	0.000003	0.464445	0.063236	0.011701	0.541436	0.215709	0.464445	0.398402	0.464445	0.085939	0.215709	0.464445	0.018538	0.464445	0.541436	0.541436	0.464445	0.541436	0.464445	0.541436	0.464445	0.541436	0.541436	0.541436	0.039914	0.00861	0.541436	0.541436	0.541436	0.185036	0.398402	0.054244	0.251467	0.541436	0.054244	0.464445	0.251467	0.541436	0.541436	0.398402	0.541436	0.541436	0.541436	0.541436	0.541436	0.541436	0.541436	0.541436	0.541436	0.541436	0.541436	0.541436	0.541436	0.464445	0.464445	0.215709	0.464445	0.541436	0.34175	0.116793	0.398402	0.251467	0.541436	0.541436	0.541436	0.541436	0.541436	0.398402	0.158724	0.251467	0.541436	0.541436	0.464445	0.464445	0.541436	0.541436	0.039914	0.100185	0.541436	0.398402	0.215709	0.541436	0.541436	0.541436	0	0.541436	0.215709	0.541436	0.34175	0.541436	0.251467	0.541436	0.34175	0.001006	0.541436	0.001172	0.541436	0.541436	0.541436	0.085939	0.541436	0.541436	0	0.251467	0.136154	0.541436	0.541436
H7	0.004662	0.735824	0.735824	0.100185	0.735824	0.541436	1	0.631191	0.003999	0.464445	0.735824	0.735824	0.631191	0.735824	0.011701	0.541436	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.541436	0.631191	0.735824	0.735824	0.735824	0.464445	0.631191	0.735824	0.02937	0.541436	0.735824	0.631191	0.215709	0.735824	0.735824	0.541436	0.735824	0.735824	0.735824	0.735824	0.735824	0.631191	0.735824	0.631191	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.631191	0.085939	0.631191	0.000047	0.541436	0.735824	0.293153	0.541436	0.631191	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.631191	0.00861	0.541436	0.735824	0.735824	0.735824	0.735824	0.631191	0.735824	0.735824	0.735824	0.631191	0.464445	0.631191	0.251467	0.464445	0.631191	0.398402	0.735824	0.631191	0.34175	0.631191	0.541436	0.735824	0.735824	0.735824	0.631191	0.541436	0.631191	0.735824	0.000004	0.251467	0.631191	0.215709	0.251467	0.631191	0.541436	0.735824	0.735824	0.735824	0.004662	0.025193	0.735824	0.735824	0.464445	0.631191	0.735824	0.735824	0.735824	0.215709	0.000003	0.631191	0.085939	0.015902	0.735824	0.293153	0.631191	0.541436	0.631191	0.116793	0.293153	0.631191	0.025193	0.631191	0.735824	0.735824	0.631191	0.735824	0.631191	0.735824	0.631191	0.735824	0.735824	0.735824	0.054244	0.011701	0.735824	0.735824	0.735824	0.251467	0.541436	0.073718	0.34175	0.735824	0.073718	0.631191	0.34175	0.735824	0.735824	0.541436	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.735824	0.631191	0.631191	0.293153	0.631191	0.735824	0.464445	0.158724	0.541436	0.34175	0.735824	0.735824	0.735824	0.735824	0.735824	0.541436	0.215709	0.34175	0.735824	0.735824	0.631191	0.631191	0.735824	0.735824	0.054244	0.136154	0.735824	0.541436	0.293153	0.735824	0.735824	0.735824	0	0.735824	0.293153	0.735824	0.464445	0.735824	0.34175	0.735824	0.464445	0.001367	0.735824	0.001593	0.735824	0.735824	0.735824	0.116793	0.735824	0.735824	0	0.34175	0.185036	0.735824	0.735824
H8	0.003999	0.631191	0.631191	0.085939	0.631191	0.464445	0.631191	1	0.00343	0.398402	0.631191	0.631191	0.541436	0.631191	0.010037	0.464445	0.631191	0.631191	0.631191	0.631191	0.631191	0.631191	0.464445	0.541436	0.631191	0.631191	0.631191	0.398402	0.541436	0.631191	0.025193	0.464445	0.631191	0.541436	0.185036	0.631191	0.631191	0.464445	0.631191	0.631191	0.631191	0.631191	0.631191	0.541436	0.631191	0.541436	0.631191	0.631191	0.631191	0.631191	0.631191	0.631191	0.541436	0.073718	0.541436	0.00004	0.464445	0.631191	0.251467	0.464445	0.541436	0.631191	0.631191	0.631191	0.631191	0.631191	0.631191	0.631191	0.631191	0.631191	0.631191	0.631191	0.541436	0.007385	0.464445	0.631191	0.631191	0.631191	0.631191	0.541436	0.631191	0.631191	0.631191	0.541436	0.398402	0.541436	0.215709	0.398402	0.541436	0.34175	0.631191	0.541436	0.293153	0.541436	0.464445	0.631191	0.631191	0.631191	0.541436	0.464445	0.541436	0.631191	0.000003	0.215709	0.541436	0.185036	0.215709	0.541436	0.464445	0.631191	0.631191	0.631191	0.003999	0.021611	0.631191	0.631191	0.398402	0.541436	0.631191	0.631191	0.631191	0.185036	0.000003	0.541436	0.073718	0.013641	0.631191	0.251467	0.541436	0.464445	0.541436	0.100185	0.251467	0.541436	0.021611	0.541436	0.631191	0.631191	0.541436	0.631191	0.541436	0.631191	0.541436	0.631191	0.631191	0.631191	0.04653	0.010037	0.631191	0.631191	0.631191	0.215709	0.464445	0.063236	0.293153	0.631191	0.063236	0.541436	0.293153	0.631191	0.631191	0.464445	0.631191	0.631191	0.631191	0.631191	0.631191	0.631191	0.631191	0.631191	0.631191	0.631191	0.631191	0.631191	0.631191	0.541436	0.541436	0.251467	0.541436	0.631191	0.398402	0.136154	0.464445	0.293153	0.631191	0.631191	0.631191	0.631191	0.631191	0.464445	0.185036	0.293153	0.631191	0.631191	0.541436	0.541436	0.631191	0.631191	0.04653	0.116793	0.631191	0.464445	0.251467	0.631191	0.631191	0.631191	0	0.631191	0.251467	0.631191	0.398402	0.631191	0.293153	0.631191	0.398402	0.001172	0.631191	0.001367	0.631191	0.631191	0.631191	0.100185	0.631191	0.631191	0	0.293153	0.158724	0.631191	0.631191
H9	0.000025	0.003999	0.003999	0.000544	0.003999	0.002942	0.003999	0.00343	1	0.002524	0.003999	0.003999	0.00343	0.003999	0.000064	0.002942	0.003999	0.003999	0.003999	0.003999	0.003999	0.003999	0.002942	0.00343	0.003999	0.003999	0.003999	0.002524	0.00343	0.003999	0.00016	0.002942	0.003999	0.00343	0.001172	0.003999	0.003999	0.002942	0.003999	0.003999	0.003999	0.003999	0.003999	0.00343	0.003999	0.00343	0.003999	0.003999	0.003999	0.003999	0.003999	0.003999	0.00343	0.000467	0.00343	0	0.002942	0.003999	0.001593	0.002942	0.00343	0.003999	0.003999	0.003999	0.003999	0.003999	0.003999	0.003999	0.003999	0.003999	0.003999	0.003999	0.00343	0.000047	0.002942	0.003999	0.003999	0.003999	0.003999	0.00343	0.003999	0.003999	0.003999	0.00343	0.002524	0.00343	0.001367	0.002524	0.00343	0.002165	0.003999	0.00343	0.001857	0.00343	0.002942	0.003999	0.003999	0.003999	0.00343	0.002942	0.00343	0.003999	0	0.001367	0.00343	0.001172	0.001367	0.00343	0.002942	0.003999	0.003999	0.003999	0.000025	0.000137	0.003999	0.003999	0.002524	0.00343	0.003999	0.003999	0.003999	0.001172	0	0.00343	0.000467	0.000086	0.003999	0.001593	0.00343	0.002942	0.00343	0.000635	0.001593	0.00343	0.000137	0.00343	0.003999	0.003999	0.00343	0.003999	0.00343	0.003999	0.00343	0.003999	0.003999	0.003999	0.000295	0.000064	0.003999	0.003999	0.003999	0.001367	0.002942	0.000401	0.001857	0.003999	0.000401	0.00343	0.001857	0.003999	0.003999	0.002942	0.003999	0.003999	0.003999	0.003999	0.003999	0.003999	0.003999	0.003999	0.003999	0.003999	0.003999	0.003999	0.003999	0.00343	0.00343	0.001593	0.00343	0.003999	0.002524	0.000863	0.002942	0.001857	0.003999	0.003999	0.003999	0.003999	0.003999	0.002942	0.001172	0.001857	0.003999	0.003999	0.00343	0.00343	0.003999	0.003999	0.000295	0.00074	0.003999	0.002942	0.001593	0.003999	0.003999	0.003999	0	0.003999	0.001593	0.003999	0.002524	0.003999	0.001857	0.003999	0.002524	0.000007	0.003999	0.000009	0.003999	0.003999	0.003999	0.000635	0.003999	0.003999	0	0.001857	0.001006	0.003999	0.003999
H10	0.002942	0.464445	0.464445	0.063236	0.464445	0.34175	0.464445	0.398402	0.002524	1	0.464445	0.464445	0.398402	0.464445	0.007385	0.34175	0.464445	0.464445	0.464445	0.464445	0.464445	0.464445	0.34175	0.398402	0.464445	0.464445	0.464445	0.293153	0.398402	0.464445	0.018538	0.34175	0.464445	0.398402	0.136154	0.464445	0.464445	0.34175	0.464445	0.464445	0.464445	0.464445	0.464445	0.398402	0.464445	0.398402	0.464445	0.464445	0.464445	0.464445	0.464445	0.464445	0.398402	0.054244	0.398402	0.00003	0.34175	0.464445	0.185036	0.34175	0.398402	0.464445	0.464445	0.464445	0.464445	0.464445	0.464445	0.464445	0.464445	0.464445	0.464445	0.464445	0.398402	0.005434	0.34175	0.464445	0.464445	0.464445	0.464445	0.398402	0.464445	0.464445	0.464445	0.398402	0.293153	0.398402	0.158724	0.293153	0.398402	0.251467	0.464445	0.398402	0.215709	0.398402	0.34175	0.464445	0.464445	0.464445	0.398402	0.34175	0.398402	0.464445	0.000003	0.158724	0.398402	0.136154	0.158724	0.398402	0.34175	0.464445	0.464445	0.464445	0.002942	0.015902	0.464445	0.464445	0.293153	0.398402	0.464445	0.464445	0.464445	0.136154	0.000002	0.398402	0.054244	0.010037	0.464445	0.185036	0.398402	0.34175	0.398402	0.073718	0.185036	0.398402	0.015902	0.398402	0.464445	0.464445	0.398402	0.464445	0.398402	0.464445	0.398402	0.464445	0.464445	0.464445	0.034238	0.007385	0.464445	0.464445	0.464445	0.158724	0.34175	0.04653	0.215709	0.464445	0.04653	0.398402	0.215709	0.464445	0.464445	0.34175	0.464445	0.464445	0.464445	0.464445	0.464445	0.464445	0.464445	0.464445	0.464445	0.464445	0.464445	0.464445	0.464445	0.398402	0.398402	0.185036	0.398402	0.464445	0.293153	0.100185	0.34175	0.215709	0.464445	0.464445	0.464445	0.464445	0.464445	0.34175	0.136154	0.215709	0.464445	0.464445	0.398402	0.398402	0.464445	0.464445	0.034238	0.085939	0.464445	0.34175	0.185036	0.464445	0.464445	0.464445	0	0.464445	0.185036	0.464445	0.293153	0.464445	0.215709	0.464445	0.293153	0.000863	0.464445	0.001006	0.464445	0.464445	0.464445	0.073718	0.464445	0.464445	0	0.215709	0.116793	0.464445	0.464445
